open_time,close_time,symbol,side,open_price,close_price,volume,pnl,tx_hash,gas_cost_eth,tokens_sold,tokens_bought
2022-05-09 16:49:57,2022-05-09 16:49:57,CRV/aCRV,SELL,1.0,1.0,2000000.0,0,0x7575f3cec54e37e32d1de90da13cfdb2aeb30fa19f93757aa2d176427c90d659,0.036623,CRV:2000000.0,aCRV:2000000.0
2022-05-09 16:55:56,2022-05-09 16:55:56,MIM/USDC,BUY,0.99605499,0.99605499,1003960.63168209,0,0x0eb1cd82af813747fa48ed62157c3c50038fcf9add078e0a93e62c96af2156cf,0.070753,USDC:1000000.0,MIM:1003960.6317
2022-05-10 05:55:54,2022-05-10 05:55:54,CVX/renBTC,SELL,0.00063691,0.00063691,2983.4261729,0,0x3f0b73794bbdf819dd180a8b6291ef21872c9b93e5ad7c3cf406d02243e01ba0,0.042418,CVX:2983.4262,renBTC:1.9002
2022-05-10 05:58:25,2022-05-10 05:58:25,CRV/aCRV,SELL,1.0,1.0,1000000.0,0,0x6b2e5013d91a017940eadd40783821a83f1fc9e0e0238415c67ee341cb25868d,0.014025,CRV:1000000.0,aCRV:1000000.0
2022-05-10 05:59:46,2022-05-10 05:59:46,renBTC/USDT,BUY,31938.83544375,31938.83544375,14.08943043,0,0x60e272474ea14271d7279b7d04eba68967ca4d98e4e7cf850fc69943c0e4c87f,0.026097,USDT:450000.0,renBTC:14.0894
2022-05-11 04:12:59,2022-05-11 04:12:59,CRV/aCRV,SELL,1.0,1.0,1000000.0,0,0xb486b00547a86d5c8be5691a686a84e4d30bbe7545c41de9df05bfc7ac0fbee1,0.008848,CRV:1000000.0,aCRV:1000000.0
2022-05-11 08:03:01,2022-05-11 08:03:01,crvTETH/T,SELL,200.54748519,200.54748519,230267.69620314,0,0x0934459def40731fd83675d36e20a3f794c11e72d0c363f2e6a101553d973a7f,0.012208,crvTETH:230267.6962,T:46179607.3947
2022-05-11 09:24:33,2022-05-11 09:24:33,CRV/cvxcrv-f,SELL,0.9927971,0.9927971,1404000.0,0,0xa531ccbce412e9995a62d5154576f4cc265cef042292e394019f352720c86dd0,0.012261,CRV:1404000.0,cvxcrv-f:1393887.1279
2022-05-11 13:22:20,2022-05-11 13:22:20,CRV/aCRV,SELL,1.0,1.0,3000000.0,0,0x4db17224a392b2483f2bddd768ea8764a500970b5a24763fbb04f512c674900e,0.13726,CRV:3000000.0,aCRV:3000000.0
2022-05-12 05:39:13,2022-05-12 05:39:13,CRV/aCRV,SELL,1.0,1.0,5000000.0,0,0xb2824a0d9bd3d450559d3739fe33d0dbe92c0ae98cae81ed60fe3e3b57614eb6,0.095858,CRV:5000000.0,aCRV:5000000.0
2022-05-12 05:41:19,2022-05-12 05:41:19,MIM/USDT,BUY,1.00078095,1.00078095,1498829.49280483,0,0x28953a9c24356f4de507bc1b52e936414e113d2e950565fecdaebcac165372c6,0.123982,USDT:1500000.0,MIM:1498829.4928
2022-05-12 06:36:06,2022-05-12 06:36:06,CRV/aCRV,SELL,1.0,1.0,6000000.0,0,0x590c7e59ce89f0e93fb7094a299d528e74f1bcfe1619641acb757d7a8f440bfe,0.084709,CRV:6000000.0,aCRV:6000000.0
2022-05-12 06:42:05,2022-05-12 06:42:05,MIM/USDC,BUY,0.98229069,0.98229069,1527042.87752011,0,0x47eca2783c41f4a17caaf25e717175701ef561aa850da2745532b40fc0467768,0.084505,USDC:1500000.0,MIM:1527042.8775
2022-05-12 07:46:41,2022-05-12 07:46:41,USDC/USDT,SELL,1.02186883,1.02186883,1000000.0,0,0x596949a84075a3b6b12f67ab6931317000541e4262a4ff15ad3b007226a9f25f,0.09937,USDC:1000000.0,USDT:1021868.8253
2022-05-12 07:52:39,2022-05-12 07:52:39,CRV/aCRV,SELL,1.0,1.0,1500000.0,0,0x7d6dc22e014a379162233e1e3de7be5c25b137da9e8b645d7e641fc53850a2fc,0.125461,CRV:1500000.0,aCRV:1500000.0
2022-05-12 20:30:23,2022-05-12 20:30:23,3Crv/USDT,SELL,1.02218017,1.02218017,481323.87555484,0,0x19fe79695ee741635f6ffebe0113a75f14a4d2e9a40c63c417b91b3b746b080f,0.015329,3Crv:481323.8756,USDT:491999.7219
2022-05-14 11:25:17,2022-05-14 11:25:17,cvxcrv-f/cvxCRV,SELL,1.01505224,1.01505224,4713312.25720237,0,0x697e99e707b449bb52db3928490efa59962cbae618ebc7a3a471f7a36c261bbc,0.002995,cvxcrv-f:4713312.2572,cvxCRV:4784258.1751
2022-05-14 11:27:36,2022-05-14 11:27:36,CRV/cvxCRV,SELL,1.00800453,1.00800453,16197.0,0,0x84aa8dafa6c8e965b68862cc571f7bb8dc6bd397041ba3a96f9bf935d1a2054a,0.003971,CRV:16197.0,cvxCRV:16326.6493
2022-05-19 11:02:17,2022-05-19 11:02:17,CRV/aCRV,SELL,1.0,1.0,4000000.0,0,0x001a5a8ca39d3c47c02c7d491705cfa9b856a08eebd021ba23eb52ae63bb38a3,0.005207,CRV:4000000.0,aCRV:4000000.0
2022-05-19 11:32:39,2022-05-19 11:32:39,CRV/USDP,SELL,0.39719157,0.39719157,2500000.0,0,0x9e16efa9fad25b2719722fcc4a013fd8dea94733e7fc94dcb256f0c8e446afb8,0.007169,CRV:2500000.0,USDP:992978.9368
2022-05-19 11:34:17,2022-05-19 11:34:17,USDP/USDT,SELL,1.00293624,1.00293624,990000.0,0,0xd977dae92cff9849b871506892f13399b08c66d09b073107f85e20168018464e,0.00439,USDP:990000.0,USDT:992906.8796
2022-05-19 12:00:40,2022-05-19 12:00:40,aCRV/CRV,SELL,1.0,1.0,6000000.0,0,0x738ae5840be454c31f5921d1b2b9d6c5bf321f162f146d05df6c351a86c9e7dd,0.014194,aCRV:6000000.0,CRV:6000000.0
2022-05-19 13:45:46,2022-05-19 13:45:46,CVX/cvxCRV,SELL,9.13843166,9.13843166,2085.76579443,0,0x7bd43f63d2e7be2476e4f91a52c420f889300cabf5eae6b7549dcfd38ad880aa,0.034311,CVX:2085.7658,cvxCRV:19060.6282
2022-05-19 13:49:13,2022-05-19 13:49:13,3Crv/BUSD,BUY,1.02130336,1.02130336,219530.28894421,0,0x7f7929bbf512072549ea00437acbbd53e768aa6db97e78a431d93f614f0f25e1,0.010535,BUSD:224207.0219,3Crv:219530.2889
2022-05-19 13:49:54,2022-05-19 13:49:54,3Crv/USDT,SELL,1.02195666,1.02195666,242810.67487545,0,0x8ecdb237bbd837b69817cf7628b330dd652ef5e754e702bd37cd90d5d974c7b2,0.007456,3Crv:242810.6749,USDT:248141.9869
2022-05-19 14:02:57,2022-05-19 14:02:57,MIM/3Crv,SELL,0.97470705,0.97470705,999000.0,0,0xbc6f3c49a46fd84ba232d6ab52a685f6355aa7a51cc458d7b711343f3447a7d8,0.009861,MIM:999000.0,3Crv:973732.3471
2022-05-19 14:12:52,2022-05-19 14:12:52,3Crv/USDT,SELL,1.02195227,1.02195227,1507048.64644335,0,0x66dfdc20ca547fa505ddf0789f9306e1fa1796a3d4031acf8b0e6660d84aaf41,0.006563,3Crv:1507048.6464,USDT:1540131.7901
2022-05-19 14:16:02,2022-05-19 14:16:02,aCRV/CRV,SELL,1.0,1.0,3300000.0,0,0xe5f45afd767d3203e68153fab9089195b37d669e884926c484b82d51c50b9a03,0.020489,aCRV:3300000.0,CRV:3300000.0
2022-05-19 17:06:19,2022-05-19 17:06:19,BUSD/USDT,SELL,1.00125887,1.00125887,213483.11084,0,0xb16c319a3c4c5592720e98977c1a924ba6907653de69abdd93149038b07b8c41,0.020153,BUSD:213483.1108,USDT:213751.8594
2022-05-19 17:20:47,2022-05-19 17:20:47,stkAAVE/palStkAAVE,SELL,0.9540412,0.9540412,200.59197178,0,0xb4dd8dde5f059ca62b3e1e5fe2ad83648a137802e136244da88646df1c5f595e,0.019614,stkAAVE:200.592,palStkAAVE:191.373
2022-05-19 17:21:33,2022-05-19 17:21:33,palStkAAVE/AAVE,SELL,1.00637325,1.00637325,191.37300544,0,0x266953396f96f7a05401129b4f120e8f64e913066c84343f118c5c1a3f01c278,0.011189,palStkAAVE:191.373,AAVE:192.5927
2022-05-19 23:23:09,2022-05-19 23:23:09,CRV/aCRV,SELL,1.0,1.0,4000000.0,0,0x394aed1bdecafb280b4c5e091c90f65bca0751e188f636899dd5696b6eb48dfc,0.00819,CRV:4000000.0,aCRV:4000000.0
2022-05-20 08:35:31,2022-05-20 08:35:31,aCRV/CRV,SELL,1.0,1.0,4000000.0,0,0x53f6569ef3be5c4f76e5a4570b31cfda4f1c17beff3e53c146052c3922ef2fce,0.010508,aCRV:4000000.0,CRV:4000000.0
2022-05-20 11:22:32,2022-05-20 11:22:32,BUSD/USDT,SELL,1.00080402,1.00080402,331222.45216,0,0xb5b267d231c6a6e7bcb63fb2b4ed604b8dc45f6fc9f2a9874c37d3b42b425b71,0.023366,BUSD:331222.4522,USDT:331488.7601
2022-05-20 19:53:16,2022-05-20 19:53:16,anyDAI/anyDAI,SELL,1.0,1.0,1301440.0,0,0x02619a6b6e0ad050d6ed33e30e7bc12b7b1136bc8af145b5017c6522422f62e9,0.002734,anyDAI:1301440.0,anyDAI:1301440.0
2022-05-20 19:58:55,2022-05-20 19:58:55,aCRV/CRV,SELL,1.0,1.0,2700000.0,0,0x7786c922857805cbc2cb5ddd6e2aaff08b5ebf1578eee9e35263858143a6c9c6,0.017198,aCRV:2700000.0,CRV:2700000.0
2022-05-21 12:32:02,2022-05-21 12:32:02,sdCRV-gauge/sdCRV,SELL,1.0,1.0,971314.36523708,0,0x4da68ae8f84ce0db2f91a99b86e768fa91aad5d6e1ad527d9f9fc788f4fb0c62,0.003706,sdCRV-gauge:971314.3652,sdCRV:971314.3652
2022-05-21 12:32:46,2022-05-21 12:32:46,CRV/sdCRVCRV-f,SELL,1.99917105,1.99917105,971000.0,0,0xa96d40fa3c84c04612df24995b2a4b64309a9c0fd2a06f5e352de808539c6f90,0.002848,CRV:971000.0,sdCRVCRV-f:1941195.0851
2022-05-21 12:36:00,2022-05-21 12:36:00,sdCRVCRV-f/sdCRVCRV-f-gauge,SELL,1.0,1.0,1941195.08511987,0,0x345b76ed2b6cf01396851726bf6a9b573c7bc51b6463f9d497211ba13f370038,0.007558,sdCRVCRV-f:1941195.0851,sdCRVCRV-f-gauge:1941195.0851
